"dteday","season","yr","weekday","hr","rider_type","riders","price","cogs","revenue","profit","iso_weekday","season_calendar"
"2021-01-01",1,0,6,0,"casual",3,"3.99","1.24","11.97","8.25",5,"1"
"2021-01-01",1,0,6,1,"casual",8,"3.99","1.24","31.92","22.00",5,"1"
"2021-01-01",1,0,6,2,"casual",5,"3.99","1.24","19.95","13.75",5,"1"
"2021-01-01",1,0,6,3,"casual",3,"3.99","1.24","11.97","8.25",5,"1"
"2021-01-01",1,0,6,4,"casual",0,"3.99","1.24","0.00","0.00",5,"1"
"2021-01-01",1,0,6,5,"casual",0,"3.99","1.24","0.00","0.00",5,"1"
"2021-01-01",1,0,6,6,"casual",2,"3.99","1.24","7.98","5.50",5,"1"
"2021-01-01",1,0,6,7,"casual",1,"3.99","1.24","3.99","2.75",5,"1"
"2021-01-01",1,0,6,8,"casual",1,"3.99","1.24","3.99","2.75",5,"1"
"2021-01-01",1,0,6,9,"casual",8,"3.99","1.24","31.92","22.00",5,"1"
"2021-01-01",1,0,6,10,"casual",12,"3.99","1.24","47.88","33.00",5,"1"
"2021-01-01",1,0,6,11,"casual",26,"3.99","1.24","103.74","71.50",5,"1"
"2021-01-01",1,0,6,12,"casual",29,"3.99","1.24","115.71","79.75",5,"1"
"2021-01-01",1,0,6,13,"casual",47,"3.99","1.24","187.53","129.25",5,"1"
"2021-01-01",1,0,6,14,"casual",35,"3.99","1.24","139.65","96.25",5,"1"
"2021-01-01",1,0,6,15,"casual",40,"3.99","1.24","159.60","110.00",5,"1"
"2021-01-01",1,0,6,16,"casual",41,"3.99","1.24","163.59","112.75",5,"1"
"2021-01-01",1,0,6,17,"casual",15,"3.99","1.24","59.85","41.25",5,"1"
"2021-01-01",1,0,6,18,"casual",9,"3.99","1.24","35.91","24.75",5,"1"
"2021-01-01",1,0,6,19,"casual",6,"3.99","1.24","23.94","16.50",5,"1"
"2021-01-01",1,0,6,20,"casual",11,"3.99","1.24","43.89","30.25",5,"1"
"2021-01-01",1,0,6,21,"casual",3,"3.99","1.24","11.97","8.25",5,"1"
"2021-01-01",1,0,6,22,"casual",11,"3.99","1.24","43.89","30.25",5,"1"
"2021-01-01",1,0,6,23,"casual",15,"3.99","1.24","59.85","41.25",5,"1"
"2021-01-02",1,0,0,0,"casual",4,"3.99","1.24","15.96","11.00",6,"1"
"2021-01-02",1,0,0,1,"casual",1,"3.99","1.24","3.99","2.75",6,"1"
"2021-01-02",1,0,0,2,"casual",1,"3.99","1.24","3.99","2.75",6,"1"
"2021-01-02",1,0,0,3,"casual",2,"3.99","1.24","7.98","5.50",6,"1"
"2021-01-02",1,0,0,4,"casual",2,"3.99","1.24","7.98","5.50",6,"1"
"2021-01-02",1,0,0,6,"casual",0,"3.99","1.24","0.00","0.00",6,"1"
"2021-01-02",1,0,0,7,"casual",0,"3.99","1.24","0.00","0.00",6,"1"
"2021-01-02",1,0,0,8,"casual",0,"3.99","1.24","0.00","0.00",6,"1"
"2021-01-02",1,0,0,9,"casual",1,"3.99","1.24","3.99","2.75",6,"1"
"2021-01-02",1,0,0,10,"casual",7,"3.99","1.24","27.93","19.25",6,"1"
"2021-01-02",1,0,0,11,"casual",16,"3.99","1.24","63.84","44.00",6,"1"
"2021-01-02",1,0,0,12,"casual",20,"3.99","1.24","79.80","55.00",6,"1"
"2021-01-02",1,0,0,13,"casual",11,"3.99","1.24","43.89","30.25",6,"1"
"2021-01-02",1,0,0,14,"casual",4,"3.99","1.24","15.96","11.00",6,"1"
"2021-01-02",1,0,0,15,"casual",19,"3.99","1.24","75.81","52.25",6,"1"
"2021-01-02",1,0,0,16,"casual",9,"3.99","1.24","35.91","24.75",6,"1"
"2021-01-02",1,0,0,17,"casual",7,"3.99","1.24","27.93","19.25",6,"1"
"2021-01-02",1,0,0,18,"casual",10,"3.99","1.24","39.90","27.50",6,"1"
"2021-01-02",1,0,0,19,"casual",1,"3.99","1.24","3.99","2.75",6,"1"
"2021-01-02",1,0,0,20,"casual",5,"3.99","1.24","19.95","13.75",6,"1"
"2021-01-02",1,0,0,21,"casual",11,"3.99","1.24","43.89","30.25",6,"1"
"2021-01-02",1,0,0,22,"casual",0,"3.99","1.24","0.00","0.00",6,"1"
"2021-01-02",1,0,0,23,"casual",0,"3.99","1.24","0.00","0.00",6,"1"
"2021-01-03",1,0,1,0,"casual",0,"3.99","1.24","0.00","0.00",7,"1"
"2021-01-03",1,0,1,1,"casual",0,"3.99","1.24","0.00","0.00",7,"1"
"2021-01-03",1,0,1,4,"casual",0,"3.99","1.24","0.00","0.00",7,"1"
"2021-01-03",1,0,1,5,"casual",0,"3.99","1.24","0.00","0.00",7,"1"
"2021-01-03",1,0,1,6,"casual",0,"3.99","1.24","0.00","0.00",7,"1"
"2021-01-03",1,0,1,7,"casual",1,"3.99","1.24","3.99","2.75",7,"1"
"2021-01-03",1,0,1,8,"casual",1,"3.99","1.24","3.99","2.75",7,"1"
"2021-01-03",1,0,1,9,"casual",7,"3.99","1.24","27.93","19.25",7,"1"
"2021-01-03",1,0,1,10,"casual",11,"3.99","1.24","43.89","30.25",7,"1"
"2021-01-03",1,0,1,11,"casual",10,"3.99","1.24","39.90","27.50",7,"1"
"2021-01-03",1,0,1,12,"casual",13,"3.99","1.24","51.87","35.75",7,"1"
"2021-01-03",1,0,1,13,"casual",8,"3.99","1.24","31.92","22.00",7,"1"
"2021-01-03",1,0,1,14,"casual",11,"3.99","1.24","43.89","30.25",7,"1"
"2021-01-03",1,0,1,15,"casual",14,"3.99","1.24","55.86","38.50",7,"1"
"2021-01-03",1,0,1,16,"casual",9,"3.99","1.24","35.91","24.75",7,"1"
"2021-01-03",1,0,1,17,"casual",11,"3.99","1.24","43.89","30.25",7,"1"
"2021-01-03",1,0,1,18,"casual",9,"3.99","1.24","35.91","24.75",7,"1"
"2021-01-03",1,0,1,19,"casual",8,"3.99","1.24","31.92","22.00",7,"1"
"2021-01-03",1,0,1,20,"casual",3,"3.99","1.24","11.97","8.25",7,"1"
"2021-01-03",1,0,1,21,"casual",3,"3.99","1.24","11.97","8.25",7,"1"
"2021-01-03",1,0,1,22,"casual",0,"3.99","1.24","0.00","0.00",7,"1"
"2021-01-03",1,0,1,23,"casual",1,"3.99","1.24","3.99","2.75",7,"1"
"2021-01-04",1,0,2,0,"casual",0,"3.99","1.24","0.00","0.00",1,"1"
"2021-01-04",1,0,2,1,"casual",0,"3.99","1.24","0.00","0.00",1,"1"
"2021-01-04",1,0,2,2,"casual",0,"3.99","1.24","0.00","0.00",1,"1"
"2021-01-04",1,0,2,4,"casual",0,"3.99","1.24","0.00","0.00",1,"1"
"2021-01-04",1,0,2,5,"casual",0,"3.99","1.24","0.00","0.00",1,"1"
"2021-01-04",1,0,2,6,"casual",0,"3.99","1.24","0.00","0.00",1,"1"
"2021-01-04",1,0,2,7,"casual",2,"3.99","1.24","7.98","5.50",1,"1"
"2021-01-04",1,0,2,8,"casual",2,"3.99","1.24","7.98","5.50",1,"1"
"2021-01-04",1,0,2,9,"casual",2,"3.99","1.24","7.98","5.50",1,"1"
"2021-01-04",1,0,2,10,"casual",5,"3.99","1.24","19.95","13.75",1,"1"
"2021-01-04",1,0,2,11,"casual",7,"3.99","1.24","27.93","19.25",1,"1"
"2021-01-04",1,0,2,12,"casual",12,"3.99","1.24","47.88","33.00",1,"1"
"2021-01-04",1,0,2,13,"casual",18,"3.99","1.24","71.82","49.50",1,"1"
"2021-01-04",1,0,2,14,"casual",9,"3.99","1.24","35.91","24.75",1,"1"
"2021-01-04",1,0,2,15,"casual",17,"3.99","1.24","67.83","46.75",1,"1"
"2021-01-04",1,0,2,16,"casual",15,"3.99","1.24","59.85","41.25",1,"1"
"2021-01-04",1,0,2,17,"casual",10,"3.99","1.24","39.90","27.50",1,"1"
"2021-01-04",1,0,2,18,"casual",3,"3.99","1.24","11.97","8.25",1,"1"
"2021-01-04",1,0,2,19,"casual",2,"3.99","1.24","7.98","5.50",1,"1"
"2021-01-04",1,0,2,20,"casual",1,"3.99","1.24","3.99","2.75",1,"1"
"2021-01-04",1,0,2,21,"casual",0,"3.99","1.24","0.00","0.00",1,"1"
"2021-01-04",1,0,2,22,"casual",1,"3.99","1.24","3.99","2.75",1,"1"
"2021-01-04",1,0,2,23,"casual",2,"3.99","1.24","7.98","5.50",1,"1"
"2021-01-05",1,0,3,0,"casual",0,"3.99","1.24","0.00","0.00",2,"1"
"2021-01-05",1,0,3,1,"casual",0,"3.99","1.24","0.00","0.00",2,"1"
"2021-01-05",1,0,3,2,"casual",0,"3.99","1.24","0.00","0.00",2,"1"
"2021-01-05",1,0,3,4,"casual",0,"3.99","1.24","0.00","0.00",2,"1"
"2021-01-05",1,0,3,5,"casual",0,"3.99","1.24","0.00","0.00",2,"1"
"2021-01-05",1,0,3,6,"casual",0,"3.99","1.24","0.00","0.00",2,"1"
"2021-01-05",1,0,3,7,"casual",1,"3.99","1.24","3.99","2.75",2,"1"
"2021-01-05",1,0,3,8,"casual",3,"3.99","1.24","11.97","8.25",2,"1"
"2021-01-05",1,0,3,9,"casual",6,"3.99","1.24","23.94","16.50",2,"1"
"2021-01-05",1,0,3,10,"casual",4,"3.99","1.24","15.96","11.00",2,"1"
"2021-01-05",1,0,3,11,"casual",12,"3.99","1.24","47.88","33.00",2,"1"
"2021-01-05",1,0,3,12,"casual",5,"3.99","1.24","19.95","13.75",2,"1"
"2021-01-05",1,0,3,13,"casual",6,"3.99","1.24","23.94","16.50",2,"1"
"2021-01-05",1,0,3,14,"casual",10,"3.99","1.24","39.90","27.50",2,"1"
"2021-01-05",1,0,3,15,"casual",7,"3.99","1.24","27.93","19.25",2,"1"
"2021-01-05",1,0,3,16,"casual",4,"3.99","1.24","15.96","11.00",2,"1"
"2021-01-05",1,0,3,17,"casual",4,"3.99","1.24","15.96","11.00",2,"1"
"2021-01-05",1,0,3,18,"casual",3,"3.99","1.24","11.97","8.25",2,"1"
"2021-01-05",1,0,3,19,"casual",5,"3.99","1.24","19.95","13.75",2,"1"
"2021-01-05",1,0,3,20,"casual",7,"3.99","1.24","27.93","19.25",2,"1"
"2021-01-05",1,0,3,21,"casual",3,"3.99","1.24","11.97","8.25",2,"1"
"2021-01-05",1,0,3,22,"casual",1,"3.99","1.24","3.99","2.75",2,"1"
"2021-01-05",1,0,3,23,"casual",1,"3.99","1.24","3.99","2.75",2,"1"
"2021-01-06",1,0,4,0,"casual",0,"3.99","1.24","0.00","0.00",3,"1"
"2021-01-06",1,0,4,1,"casual",0,"3.99","1.24","0.00","0.00",3,"1"
"2021-01-06",1,0,4,2,"casual",0,"3.99","1.24","0.00","0.00",3,"1"
"2021-01-06",1,0,4,4,"casual",0,"3.99","1.24","0.00","0.00",3,"1"
"2021-01-06",1,0,4,5,"casual",0,"3.99","1.24","0.00","0.00",3,"1"
"2021-01-06",1,0,4,6,"casual",0,"3.99","1.24","0.00","0.00",3,"1"
"2021-01-06",1,0,4,7,"casual",0,"3.99","1.24","0.00","0.00",3,"1"
"2021-01-06",1,0,4,8,"casual",3,"3.99","1.24","11.97","8.25",3,"1"
"2021-01-06",1,0,4,9,"casual",6,"3.99","1.24","23.94","16.50",3,"1"
"2021-01-06",1,0,4,10,"casual",3,"3.99","1.24","11.97","8.25",3,"1"
"2021-01-06",1,0,4,11,"casual",2,"3.99","1.24","7.98","5.50",3,"1"
"2021-01-06",1,0,4,12,"casual",6,"3.99","1.24","23.94","16.50",3,"1"
"2021-01-06",1,0,4,13,"casual",12,"3.99","1.24","47.88","33.00",3,"1"
"2021-01-06",1,0,4,14,"casual",11,"3.99","1.24","43.89","30.25",3,"1"
"2021-01-06",1,0,4,15,"casual",8,"3.99","1.24","31.92","22.00",3,"1"
"2021-01-06",1,0,4,16,"casual",12,"3.99","1.24","47.88","33.00",3,"1"
